Tarih,PM10,PM2.5,SO2,NO2,NOX,NO
2024-01-01 13:00:56,"35,45","24,87","3,75","35,02","50,06","15,04"
2024-01-01 14:00:56,"27,26","18,21","4,47","32,62","43,75","11,13"
2024-01-01 15:00:56,"22,97","12,77","4,27","21,22","27,49","6,26"
2024-01-01 16:00:56,"16,65","8,45","4,48","27,62","33,28","5,66"
2024-01-01 17:00:56,"20,90","18,97","3,77","27,88","31,70","3,82"
2024-01-01 18:00:56,"22,35","21,70","3,24","51,75","59,91","8,16"
2024-01-01 19:00:56,"36,83","21,65","2,84","66,73","101,22","34,49"
2024-01-01 20:00:56,"41,27","26,31","2,77","64,97","170,51","105,54"
2024-01-01 21:00:56,"37,81","28,95","2,78","66,35","170,81","104,46"
2024-01-01 22:00:56,"54,38","28,65","3,23","63,06","220,83","157,77"
2024-01-01 23:00:56,"58,08","36,69","3,24","60,24","205,43","145,19"
2024-01-02 00:00:56,"58,22","40,87","3,52","59,63","256,70","197,07"
2024-01-02 01:00:56,"52,05","41,74","3,44","57,42","214,62","157,20"
2024-01-02 02:00:56,"45,24","35,65","3,35","51,89","186,16","134,27"
2024-01-02 03:00:56,"40,78","34,17","3,20","52,28","139,25","86,97"
2024-01-02 04:00:56,"43,96","35,24","2,95","55,22","99,53","44,31"
2024-01-02 05:00:56,"45,23","29,33","2,75","55,28","94,46","39,18"
2024-01-02 06:00:56,"32,88","28,89","2,54","49,83","89,16","39,33"
2024-01-02 07:00:56,"34,31","23,82","2,44","52,71","106,00","53,28"
2024-01-02 08:00:56,"28,84","25,85","2,59","48,31","170,50","122,19"
2024-01-02 09:00:56,"26,92","21,11","3,12","45,60","315,17","269,57"
2024-01-02 10:00:56,"53,01","29,14","3,63","43,30","371,52","328,22"
2024-01-02 11:00:56,"74,17","37,05","3,95","49,40","242,53","193,13"
2024-01-02 12:00:56,"76,83","43,82","3,95","58,17","184,94","126,77"
2024-01-02 13:00:56,"51,26","40,58","3,40","59,97","120,15","60,18"
2024-01-02 14:00:56,"29,52","27,42","3,05","58,29","112,39","54,11"
